dimension,dimension_name
data_source,数据源
game_id,应用 ID
msg_version,消息版本
sdk_version,SDK 版本
channel,渠道名称
country,国家
app_name,应用名称
project,所属项目
company,所属主体
online,是否在线
host,客户端请求 Host
